# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 （这里提供了一部分样本[5008]~[7756]）
# 格式：[样本ID] 推理过程

[5008] 解析过程略

[5015] 由双曲线的离心率为2,利用双曲线的简单性质,由已知条件能求出实数m的值\because双曲线\frac{x^{2}}{2}-\frac{y^{2}}{m}=1的离心率为2,\frac{\sqrt{2+m}}{\sqrt{2}}=2,解得m=6.

[5017] 由双曲线\frac{x^{2}}{7}-\frac{y^{2}}{9}=1得右焦点为(4,0)即为抛物线y^{2}=2px的焦点,\therefore\frac{p}{2}=4,解得p=8.\therefore抛物线的方程为y^{2}=16x.其准线方程为x=-4,\thereforeK(-4,0).过点A作AM\bot准线,垂足为点M则|AM|=|AF|.\therefore|AK|=\sqrt{2}|AM|\therefore\angleMAK=45^{\circ}.\therefore|KF|=|AF|.S_{AAKF}=\frac{1}{2}|KF|^{2}=\frac{1}{3}\times8^{2}=32.

[5018] \begin{cases}x^{2}-y^{2}=4\\y=kx-1\end{cases},x^{2}-(kx-1)^{2}=4,(1-k^{2})x+2kx-5=0当1-k^{2}=0,k=\pm1时,显然符合条件;当1-k^{2}\neq0时,则_{A}=20-16k^{2}=0,k=\pm\frac{\sqrt{5}}{2}

[5019] c=\sqrt{5-1}=2,且焦点在y轴上,则焦点坐标为(0,\pm2)

[5021] 在坐标系中画出椭圆\frac{x^{2}}{9}+\frac{y^{2}}{4}=1(x\geqslant0,y\geqslant0)与直线x-y-5=0的图形如图:可知(3,0)到直线x\cdoty+5=0的距离最小,d=\frac{|3-5|}{\sqrt{2}}=\sqrt{2}

[5023] 由题可知:a=4,b=3,由c=\sqrt{a^{2}+b^{2}}=5所以离心率e=\frac{c}{a}=\frac{5}{4}

[5024] 把圆的方程化为标准方程得:[x-(2m+1)]^{2}+(y-m)^{2}=m2(m\neq0),则圆心坐标为\begin{cases}x=2m+1\\y=m\end{cases},因为m\neq2m+1,因为m\neq0,得到x\neq1,消去m可得x-2y-1=0,

[5025] 设直线AB方程为x=my+4,代入抛物线方程并整理得y^{2}-4my-16=0,则y_{1}+y_{2}=4m,y_{1}y_{2}=-16,y_{1}^{2}+y_{2}^{2}=(y_{1}+y_{2})^{2}-2y_{1}y_{2}=16m^{2}+32,所以当m=0时,y_{1}^{2}+y_{2}^{2}取得最小值32.

[5026] 分别作AD\botl,BE\botl,如图所示,由抛物线定义知,AD=AF=8,BE=BF,由\overrightarrow{CF}=2\overrightarrow{FA}知,CF=16,CA=24,设BF=x,则BE=x,CB=16-x所以\frac{CB}{CA}=\frac{BE}{AD},即\frac{16-x}{24}=\frac{x}{8},解得x=4,所以AB=AF+FB=12,故答客为:12

[5029] \because抛物线y^{2}=2px的焦点到准线的距离为1,\thereforep=1,设直线与抛物线的交点坐标为A(x_{1},y_{1}),B(x_{2},y_{2}),当直线斜率不存在时,直线方程为x=\frac{1}{2},交点坐标为A(\frac{1}{2},1),B(\frac{1}{2},-1),弦长为AB=2,当直线斜率存在时,可设为y=k(x-\frac{1}{2})(k\neq0),联立\begin{cases}y2=2x\\y=k(x-1)\end{cases}化简得k^{2}x^{2}-(k^{2}+2)x+\frac{k^{2}}{4}=0,\therefore|AB|=x_{1}+x_{2}+1=2+\frac{2}{k^{2}}>2,故此抛物线的所有经过焦点的弦之中最短弦长为2,

[5030] 由题意可得a^{2}+5>2a^{2}+1,即a^{2}<4,可得-2<a<2,即a的曲折范围是(-2,2).

[5031] 因为双曲线\frac{x^{2}}{3}-\frac{y^{2}}{4}=1中a^{2}=3,所以a=\sqrt{3},因此实轴长为2a=2\sqrt{3}

[5032] 因为双曲线C:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的右焦点为F(3,0)所以c=3又因为点F到双曲线C的一条渐近线bx-ay=0的距离为1所以\frac{|bc|}{\sqrt{b^{2}+a^{2}}}=b=1从而a^{2}=c^{2}-b^{2}=8所以双曲线C的标准方程为\frac{x^{2}}{8}-y^{2}=1

[5033] 根据椭圆的定义|PF_{1}|+|PF_{2}|=2a\Leftrightarrow7+|PF_{2}|=20,解得:|PF_{2}|=20-7=13,故填:13.

[5034] 作出图形,设过椭圆右焦点F_{2}且垂直于长轴的弦为AB,计算出|AF_{1}|,再利用椭圆的定义可得出关于a、c的等式,进而可求得椭圆的离心率的值.如下图所示,设椭圆\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)的左、右焦点分别为F_{1}F_{2}设过椭圆右焦点F_{2}且垂直于长轴的弦为AB,则|AB|=2c,|AF_{2}|=\frac{1}{2}|AB|=c.由勾股定理可得|AF_{1}|=\sqrt{|AF_{2}|^{2}+|F_{1}F_{2}|^{2}}=\sqrt{5}c,由椭圆的定义可得|AF_{1}|+|AF_{2}|=2a,即\sqrt{5}c+c=2a,所以,该椭圆的离心率为e=\frac{c}{a}=\frac{2}{\sqrt{5}+1}=\frac{2(\sqrt{5}-1)}{(\sqrt{5}+1)(\sqrt{5}}

[5035] 先求出双曲线的渐近线,再利用圆心到渐近线的距离等于半径即可得出a,b,c之间系,c^{2}=a^{2}+b^{2},即可求离心率.由x^{2}+y^{2}-16y+48=0得x^{2}+(y-8)^{2}=4^{2},所以圆心C(0,8),半径r=4.双曲线E:\frac{y^{2}}{a^{2}}-\frac{x^{2}}{b^{2}}=1(a>0,b>0)的一条渐近线为ax-by=0由题意得圆心到渐近线的距离d=\frac{|-8b|}{\sqrt{a^{2}+b^{2}}}=\frac{8b}{c}=4,所以b=\frac{1}{2}c,所以a=\sqrt{c^{2}-b^{2}}=\frac{\sqrt{3}}{2}c'所以e=\frac{c}{a}=\frac{2\sqrt{3}}{3},

[5036] \because双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的一条渐近线与直线\sqrt{3}x-y+\sqrt{3}=0平行,\frac{b}{a}=\sqrt{3},\therefore离心率e=\frac{c}{a}=2.

[5037] 先在\trianglePF_{1}F_{2}中利用余弦定理求出|F_{1}F_{2}|,再利用勾股定理判断\trianglePF_{1}F_{2}为直角三角形,再利用直角三角形求出\frac{b}{a}的值,再利用\frac{c}{a}=\sqrt{1+(\frac{b}{a})^{2}}进行求解.[详解]双曲线\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1的渐近线方程为y=\pm\frac{b}{a}x设|PF_{1}|=2|PF_{2}|=2x>0,在\trianglePF_{1}F_{2}中,因为\angleF_{1}PF_{2}=60^{\circ},所以|F_{1}F_{2}|^{2}=x^{2}+4x^{2}-2x\times2x\cos60^{\circ}=3x^{2}即|F_{1}F_{2}|=\sqrt{3}x,且\trianglePF_{1}F_{2}为直角三角形;所以在\triangleOPF_{2}中,PF_{2}\botOF_{2},|PF_{2}|=x,|OF_{2}|=\frac{\sqrt{3}}{2}x,所以\frac{b}{a}=\frac{x}{\frac{\sqrt{3}}{3}}=\frac{2\sqrt{3}}{3},则双曲线的离心率为e=\frac{c}{a}=\sqrt{1+(\frac{b}{a})^{2}}=\sqrt{1+\frac{4}{3}}=\frac{\sqrt{21}}{3}

[5038] 因为\overrightarrow{PF}_{1}\cdot\overrightarrow{PF}_{2}=0,所以\angleF_{1}PF_{2}=90^{\circ}由题意可得\triangleF_{2}ON\sim\triangleF_{2}PF_{1},则\frac{|PF_{1}|}{|PF_{2}|}=\frac{|ON|}{|OF_{2}|}因为|F_{1}F_{2}|=4|ON|,所以\frac{|ON|}{|OF_{2}|}=\frac{1}{2},所以\frac{|PF_{1}|}{|PF_{2}|}=\frac{|ON|}{|OF_{2}|}=\frac{1}{2}因为|PF_{1}|+|PF_{2}|=2a,所以|PF_{1}|=\frac{2a}{3},|PF_{2}|=\frac{4a}{3}所以|PF_{1}|^{2}+|PF_{2}|^{2}=4c^{2},可得\frac{4a^{2}}{9}+\frac{16a^{2}}{9}=4c^{2},解得e=\frac{c}{a}=\frac{\sqrt{5}}{3}

[5039] 由题意可得2+\frac{p}{2}=2\times2,解得p=4,故该抛物线的标准方程为y^{2}=8x

[5040] 首先根据\overrightarrow{OM}\cdot\overrightarrow{MF}=0可得OM\botMF,可计算|MF|=b,结合|MN|=b可得\triangleOFN是等腰三角形,且|ON|=c,再由渐进线的斜率可计算出点N坐标,即可求出点M坐标,利用|OM|=a结合b^{2}=c^{2}-a^{2}可得a,c之间的关系,即可求解.rite.因为\overrightarrow{OM}\cdot\overrightarrow{MF}=0,所以\overrightarrow{OM}\bot\overrightarrow{MF},即OM\botMF所以|MF|为点F(c,0)到渐近线bx-ay=0的距离,|MF|=\frac{bc}{\sqrt{b^{2}+a^{2}}}=\frac{bc}{c}=b所以|MF|=|MN|=b,可得点M为NF的中点.又因为OM\botMF,所以|ON|=|OF|=c,所以|OM|=c^{2}-b^{2}=a^{2},设双曲线的左焦点为F_{1},\angleF_{1}ON=\theta,N(x,y)则_{\tan\theta}=\tan(\pi-\angleFON)=-\tan\angleFON=\frac{b}{a},因为c^{2}=a^{2}+b^{2},所以\cos\theta=\frac{a}{c},\sin\theta=\frac{b}{c}所以x=-|ON|\cos\theta=-c\cdot\frac{a}{c}=-a,y=|ON|\sin\theta=c\cdot\frac{b}{c}=b'所以N(-a,b),因为M为NF中点,所以M(\frac{c-a}{2},\frac{b}{2})|OM|^{2}=(\frac{c-a}{2})^{2}+(\frac{b}{2})^{2}=a^{2},将b^{2}=c^{2}-a^{2}代入整理可得:(c-a)^{2}+c^{2}-a^{2}=4a^{2}即2c^{2}-2ac-4a^{2}=0,所以e^{2}-e-2=0,可得(e-2)(e+1)=0,解得:e=2或e=-1(舍),

[5042] 了根据双曲线的方程求得右焦点和其中一条渐近线方程,利用点到直线的距离公式求得圆的半径,进而求得圆的方程.由题意,双曲线\frac{x^{2}}{4}-y^{2}=1,可得a=2,b=1,则c=\sqrt{a^{2}+b^{2}}=\sqrt{5}则双曲线的右焦点为F(\sqrt{5},0),其中一条渐近线方程为y=-\frac{1}{2}x,即x+2y=0所以点F到渐近线x+2y=0的距离为d=\frac{|\sqrt{5}\times1-2\times0|}{\sqrt{1^{2}+2^{2}}}=1,所以以双曲线的右焦点为圆心,且与其渐近线相切的圆的方程为(x-\sqrt{5})^{2}+y2=1

[5043] 先将抛物线y=\frac{1}{4}x^{2},转化为标准方程,求得焦点坐标,由斜率为1,得到直线方程y=x+1,然后与抛物线方程联立,利用弦长公式求解.[详解]由抛物线y=\frac{1}{4}x^{2}得x^{2}=4y,\thereforep=2,所以焦点坐标为(0,1),因为斜率为1,所以过焦点的直线方程为y=x+1,由\begin{cases}y=x+1,\\x^{2}=4y,\end{cases}消去x,得y^{2}-6y+1=0.设该直线与抛物线的交点A,B的坐标分别为(x_{1},y_{1}),(x_{2},y_{2}).则y_{1}+y_{2}=6,所以直线被抛物线截得的弦长为y_{1}+\frac{p}{2}+y_{2}+\frac{p}{2}=y_{1}+y_{2}+p=6+2=8.

[5044] 设点P的坐标为(x,y),则-2\leqslantx\leqslant2,可得出y^{2}=3-\frac{3}{4}x^{2},利用平面向量数量积的坐标运算结合二次函数的基本性质可求得\overrightarrow{OP}\cdot\overrightarrow{FP}的最大值设点P的坐标为(x,y),则-2\leqslantx\leqslant2,则\frac{x^{2}}{4}+\frac{y^{2}}{3}=1,可得y^{2}=3-\frac{3}{4}x^{2},椭圆\Gamma的左焦点为F(-1,0),\overrightarrow{OP}=(x,y),\overrightarrow{FP}=(x+1,y),则\overrightarrow{OP}\cdot\overrightarrow{FP}=x(x+1)+y^{2}=x^{2}+x+3-\frac{3}{4}x^{2}=\frac{1}{4}x^{2}+x+3=\frac{1}{4}(x+2)^{2}+2二次函数f(x)=\frac{1}{4}(x+2)^{2}+2在区间[-2,2]上单调递增.所以,f(x)_{\max}=f(2)=\frac{1}{4}\times4^{2}+2=6.因此,\overrightarrow{OP}\cdot\overrightarrow{FP}的最大值为6.故答客为:6睛)本题考查椭圆中向量数量积最值的求解,考查了椭圆有界性以及二次函数基本性质的应用,考查计管能力屋干中生“所

[5045] 由已知可设l:x=ky-\frac{p}{2},代入y^{2}=2px得:y^{2}-2pky+p^{2}=0设A(x_{1},y_{1}),B(x_{2},y_{2}),则y_{1}+y_{2}=2pk,y_{1}y_{2}=p^{2}由A=4p^{2k^{2}}-4p^{2}>0,得k^{2}>1.()|\frac{1}{k_{1}}-\frac{1}{k_{2}}|=|\frac{x_{1}+x_{2}+p}{y_{2}-y_{1}}|=\frac{k^{2}}{\sqrt{k^{2}-1}}设\sqrt{k^{2}-1}=t>0,则|\frac{1}{k_{1}}-\frac{1}{k_{2}}|=\frac{k^{2}}{\sqrt{k^{2}-1}}=\frac{t^{2}+1}{t}=t+\frac{1}{t}\geqslant2当且仅当t=1,即k=\pm\sqrt{2}取到最小值为2.

[5046] 过点B作BQ垂直准线于点Q,交抛物线于点P_{1},如图,则|P_{1}Q|=|P_{1}F|.则有|PB|+|PF|\geqslant|P_{1}B|+|P_{1}Q|=|BQ|=4即|PB|+|PF|的最小值为4.

[5048] 直线与x轴的交点为(-t,0),设抛物线方程为y^{2}=-4tx,直线方程为x=t设A(x_{1},y_{1},B(x_{2},y_{2}),联立直线与抛物线的方程可得:x^{2}+6tx+t^{2}=0则:|AB|=2t-(x,+x)=8t=2\sqrt{6},\sqrt{6}

[5049] 由题意,抛物线y^{2}=4x,可得焦点F(1,0)设A(x_{0},y_{0}),根据抛物线的定义,可得|AF|=x_{0}+1=3,解得x_{0}=2即A到y轴的距离为d=2,所以圆截y轴所得弦长为2\sqrt{R^{2}-d^{2}}=2\sqrt{3^{2}-2^{2}}=2\sqrt{5}

[5050] \becausey^{2}=8x,\therefore\frac{p}{2}=2,即y2=8x焦点为(2,0),即\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1的焦点为(2,0),\thereforea^{2}+b^{2}=4,\textcircled{1}又\because\triangleOAB的面积为6,x=-c时,y=\pm\frac{b^{2}}{a},\thereforeA(-c,\frac{b^{2}}{a}),B(-cS_{\DeltaAOB}=\frac{1}{2}\times2\times\frac{2b^{2}}{a}=6,得b^{2}=3a,\textcircled{2}由\textcircled{1}\textcircled{2}得,\begin{cases}a2=1\\b^{2}=3\end{cases}双曲线的方程为x^{2}-\frac{y^{2}}{2}=1

[5051] 由抛物线的方程x^{2}=4y可得焦点到准线的距离,再由\angleAFO=30^{\circ},可求得点P的横坐标,代入抛物线方程即可得点P的纵坐标,再由抛物线的定义即可求得PF.如图令l与y轴交点为B,在Rt\triangleABF中,\angleAFB=30^{\circ},BF=2,所以AB=\frac{2\sqrt{3}}{3},若P(x_{0},y_{0}),则x_{0}=\frac{2\sqrt{3}}{3},代入x^{2}=4y中,则y_{0}=\frac{1}{3},所以PF=PA=y_{0}+1=\frac{4}{3}.

[5053] 抛物线y^{2}=12x的准线为x=-3,点M到抛物线焦点的距离等于点M到准线的距离,所以点M横坐标为6,代入抛物线解析式,可求得纵坐标为\pm6\sqrt{2},则点M到x轴的距离为6\sqrt{2}

[5054] 利用椭圆的性质得出A(-2,0),B(2,0),设M(x_{0},y_{0}),利用两点的斜率公式以及椭圆的方程化简k_{MA}\cdotk_{MB},即可得出答案.由题意可得A(-2,0),B(2,0)设M(x_{0},y_{0}),则_{k_{MA}}\cdotk_{MB}=\frac{y_{0}}{x_{0}+2}\cdot\frac{y_{0}}{x_{0}-2}=\frac{y_{0}^{2}}{x_{0}^{2}-4}=\frac{2-\frac{1}{2}x_{0}^{2}}{x_{0}^{2}-4}=-\frac{1}{2}

[5055] 已知抛物线H:4x^{2}=y即x^{2}=\frac{1}{4}y的准线l为y=\frac{1}{16}与双曲线C:\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0)的渐近线方程为y=\pm\frac{b}{a}x'当y=\frac{1}{16}时x=\pm\frac{a}{16b},又因为|AB|=\frac{1}{8},所以\frac{a}{8b}=\frac{1}{8},\thereforea=b,c^{2}=a^{2}+b^{2}=2a^{2},所以c=\sqrt{2}a则双曲线C的离心率e==\frac{c}{a}=\sqrt{2}

[5056] 抛物线y^{2}=4x的焦点F为(1,0),准线为x=-1,设A(x_{1},y_{1}),B(x_{2},y_{2})由抛物线的定义可得|AF|=x_{1}+1=2,解得x_{1}=1,y_{1}=\pm2,即有AB\botx轴,可得BF=|AF|=2

[5059] 因为渐近线方程为2x\pmy=0,可设双曲线方程为4x^{2}-y^{2}=\lambda,当\lambda>0时,方程化为\frac{x^{2}}{4}-\frac{y^{2}}{2}=1,此时焦点为(\pm\frac{\sqrt{5\lambda}}{2},0)则焦点到渐近线的距离为\frac{\sqrt{5\lambda}}{\sqrt{5}}=2,即\lambda=4,标准方程为x^{2}-\frac{y^{2}}{4}=1当\lambda<0时,方程化为\frac{y^{2}}{-\lambda}-\frac{x^{2}}{-\frac{2}{4}}=1,此时焦点为(0,\pm\frac{\sqrt{-52}}{2})则焦点到渐近线的距离为\frac{\sqrt{-5\lambda}}{\sqrt{5}}=2'解得\lambda=-16,标准方程为\frac{y^{2}}{16}-\frac{x^{2}}{4}=1所以此双曲线的标准方程为x^{2}-\frac{y^{2}}{4}=1或\frac{y^{2}}{16}-\frac{x^{2}}{4}=1

[5060] 设双曲线的半焦距为c,求得双曲线的渐近线方程可得a,b,c的关系,求出\trianglePF_{1}F_{2}的三条边,运用余弦定理可求\cos\anglePF_{1}F_{2}值.设双曲线的半焦距为c由双曲线的渐近线方程,可得\frac{b}{a}=\frac{4}{3}则c=\sqrt{a^{2+b^{2}}=\sqrt{a^{2}+\frac{16}{9}a^{2}}=\frac{5}{3}a,在\trianglePF_{1}F_{2}中,|PF_{2}|=|F_{1}F_{2}|=2c,|PF_{1}|=2c+2a,由余弦定理可得\cos\anglePF_{1}F_{2}=\frac{(2c)^{2}+(2c+2a)^{2}-(2c)^{2}}{2\times2c(2c+2a)}=\frac{a+c}{2c}=\frac{a+\frac{5}{3}a}{\frac{10}{3}a}=\frac{4}{5}.

[5062] 由x^{2}+y^{2}+4y=0,得x^{2}+(y+2)^{2}=4,则圆心为(0,-2),半径r=2,抛物线x^{2}=4y的准线为y=-1,则圆心(0,-2)到准线y=-1的距离d=1所以圆x^{2}+y^{2}+4y=0截抛物线x^{2}=4y的准线所得弦长为2\sqrt{r2-d^{2}}=2\sqrt{2^{2}-1^{2}}=2\sqrt{3}

[5063] 椭圆\frac{x^{2}}{16}+\frac{y^{2}}{9}=1,可得2a=8,设|PF_{1}|=m,|PF_{2}|=n,可得\begin{cases}m+n=2a=8\\mn=12\end{cases}化简可得:\cos\angleF_{1}PF_{2}=\frac{1}{2},\therefore\angleF_{1}PF_{2}=60^{\circ},

[5064] 依题意显然直线的斜率存在,设直线为y-2=k(x-3),A(x_{1},y_{1}),B(x_{2},y_{2}),由\begin{cases}y-2=\\y^{2}=4x\end{cases}=k(x-3),消去y整理得k^{2}x^{2}-(6k^{2}+4-4k)x+(2-3k)^{2}=0当k=0时,显然不成立当k\neq0时,x_{1}+x_{2}=\frac{6k^{2}+4-4k}{l^{2}}又\frac{x_{1}+x_{2}}{2}=3得\frac{6k^{2}+4-4k}{l^{2}}=6,解得k=1.当k=1时直线x-y-1=0,又焦点F(1,0)满足直线x-y-1=0.所以|AB|=|FA|+|FB|=(x_{1}+1)+(x_{2}+1)=x_{1}+x_{2}+2,又x_{1}+x_{2}=6,\therefore|AB|=8.均答家为:8

[5065] 由椭圆的性质求出BF的值,利用已知的向量间的关系、三角形相似求出D的横坐标.再由椭圆的第二定义求出\overrightarrow{FD}的值,又由\overrightarrow{BF}=2\overrightarrow{FD},建立关于a、c的方程,解方程求出\frac{c}{a}的值如图,BF=\sqrt{b^{2}+c}^{2}=a作DD_{1}\boty轴于点D_{1},则由\overrightarrow{BF}=2\overrightarrow{FD}得:\frac{|\overrightarrow{OF}|}{|DD_{1}|}=\frac{|\overrightarrow{BF}|}{|BD|}=\frac{2}{3}所以,|\overrightarrow{DD_{1}}|=\frac{3}{2}|\overrightarrow{OF}|=\frac{3}{2}c即x_{D}=\frac{3}{2}c,由椭圆的第二定义得\overrightarrow{FD}=(\frac{a^{2}}{c}\cdot\frac{3}{2}c)=a\cdot\frac{3c^{2}}{2a}又由\overrightarrow{BF}=2|\overrightarrow{FD}|,得a=2(a\cdot\frac{3c^{2}}{2})a^{2}=3c^{2},解得e=\frac{c}{a}=\frac{\sqrt{3}}{3},

[5066] 由抛物线定义可知抛物线y^{2}=12x上的点(x,y)与焦点的距离为x+3,由已知,可得x=3,代入抛物线方程可得y=\pm6

[5068] 画出图形,由\overrightarrow{MN}=\overrightarrow{NF},可得N是FM的中点,再结合题意可得ON垂直平分FM,再由双曲线的两条渐近线关于y对称,从而可得\angleFON=\angleMOE=\angleNOM=60^{\circ},进而可求出双曲线渐近线方程因为\overrightarrow{MN}=\overrightarrow{NF},所以N是FM的中点因为FM\botON,所以ON垂直平分FM.所以\angleFON=\angleNOM因为双曲线的两条渐近线关于y对称,所以\angleFON=\angleMOE,因为\angleFON+\angleMOE+\angleNOM=180^{\circ}所以\angleFON=\angleMOE=\angleNOM=60^{\circ}所以双曲线的渐近线方程为y=\pm\tan60^{\circ}x=\pm\sqrt{3}x.

[5069] 联立方程组,按照k\neq0、k=0分类,结合韦达定理、弦长公式即可得解由题意\begin{cases}\frac{x^{2}}{a^{2}}+y^{2}=1\\y=kx+1\end{cases},化简得(1+a2k^{2})x^{2}+2ka^{2}x=0,当k\neq0时,A>0,设交点坐标分别为(x_{1},y_{1}),(x_{2},y_{2})则x_{1}+x_{2}=-\frac{2ka^{2}}{1+a2k^{2}},x_{1}x_{2}=0,此时截得的线段长为\sqrt{1+k^{2}}|x_{1}-x_{2}|=\sqrt{1+k^{2}}\sqrt{(x_{1}+x_{2})^{2}-}\frac{2a^{2}|k|}{4x_{1}x_{2}}=\frac{2a_{1}+a^{2}k^{2}}{\sqrt{1+k^{2}}}当k=0时,截得的线段长为0,满足上式;综上,直线y=kx+1被椭圆\frac{x^{2}}{a^{2}}+y^{2}=1(a>1)截得的线段长为\frac{2a^{2}|k|}{1+a2k^{2}}\sqrt{1+k^{2}}

[5070] 由圆与圆的位置关系可得|MC_{1}|+|MC_{2}|=6>|C_{1}C_{2}|,再由椭圆的定义即可得解.由题意,圆C_{1}:(x+1)^{2}+y^{2}=25的圆心为(-1,0),半径为5,圆C_{2}:(x-1)^{2}+y^{2}=1的圆心为(1,0),半径为1,设动圆的圆心M(x,y),半径为R,动圆与圆C_{1}:(x+1)^{2}+y^{2}=25内切,与圆C_{2}:(x-1)^{2}+y^{2}=1外切所以|MC_{1}|=5-R,|MC_{2}|=1+R所以|MC_{1}|+|MC_{2}|=5-R+1+R=6>|C_{1}C_{2}|所以M的轨迹是以原点为中心,焦点在x轴上的椭圆,且2a=6,c=1.所以b^{2}=a^{2}-c^{2}=8,\therefore椭圆的方程为\frac{x^{2}}{9}+\frac{y^{2}}{8}=1

[5071] 如图由题可知|OF|=|OF_{2}|=c,|OT|=a,则|F|T|=b又\because\overrightarrow{TP}=3\overrightarrow{F_{1}T},\therefore|TP|=3b,\therefore|F_{1}P|=4b又\because|PF_{1}|-|PF_{2}|=2a,\therefore|PF_{2}|=4b-2a作F_{2}M//OT,可得|F_{2}M|=2a,|TM|=b,则|PM|=2b在\triangleMPF_{2},|PM|^{2}+|MF_{2}|^{2}=|PF_{2}|^{2},即c^{2}=(2b-a)^{2},即2b=a+c又\becausec^{2}=a^{2}+b^{2},化简可得3c^{2}-2ac-5a^{2}=0,同除以a2得3e^{2}-2e-5=0解得e=\frac{5}{2}或e=-1(舍去)所以双曲线的离心率为\frac{5}{2}.

[5072] 求出抛物线的准线,再利用弦长求出点A的纵坐标,代入抛物线求出点A,由抛物线的定义即可求解由抛物线y^{2}=2x,其准线方程为x=-\frac{1}{2}\becauseAB垂直于x轴,|AB|=2\sqrt{2},A到x轴的距离为\sqrt{2}假设A在y轴上侧,即y=\sqrt{2},代入抛物线y^{2}=2x,求得x=1.点A到抛物线的准线的距离d=1+\frac{1}{2}=\frac{3}{2}

[5073] \because抛物线y^{2}=ax的准线方程为x=\frac{1}{2}\thereforex=-\frac{a}{4}=\frac{1}{2},解得:a=-2,

[5074] 求出椭圆焦点坐标,即双曲线焦点坐标,有c的值,渐近线方程得\frac{b}{a}=\frac{1}{3},利用a^{2}+b^{2}=c^{2}可解得a,b得双曲线方程.由题意椭圆焦点为(\pm\sqrt{10},0),\thereforec=\sqrt{10},设双曲线方程为\frac{x^{2}}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>0,b>0),则\frac{b}{a}=\frac{1}{3},由\begin{cases}\frac{b}{a}=\frac{1}{3}\\a^{2}+b^{2}=c^{2}=10\end{cases}解得a=.\therefore双曲线方程为\frac{x^{2}}{9}-y^{2}=1.

[5075] 抛物线C:y2=2mx的焦点为F(\frac{m}{2},0),准线方程x=-\frac{m}{2}设M(x_{0},y_{0}),由抛物线的定义知:|(x_{0}+\frac{m}{2})-x_{0}|=2,解得m=\pm4.

