# 圆锥曲线问题推理过程数据集
# 共 5357 个有效样本 ([2]~[7756])
# 格式：[样本ID] 推理过程

[16] 抛物线y=\frac{1}{4}x^{2},即x^{2}=4y,故其准线l的方程为y=-1,F(0,1)双曲线的渐近线方程为y=\pm\frac{a}{b}x.则有A(-\frac{b}{a},-1),B(\frac{b}{a},-1),\therefore|AB|=\frac{2b}{a}=4,\frac{b}{a}=2^{n}\thereforee=\frac{c}{a}=\sqrt{1+(\frac{b}{a})^{2}}=\sqrt{5}

[18] P(-1,4)为抛物线C:y2=ax上一点,即有4^{2}=-a,a=-16,抛物线的方程为y^{2}=-16x,焦点为(-4,0),即有|PF|=\sqrt{(-1+4)^{2}+4^{2}}=5

[19] 设点M的横坐标是x,则|MF|=x+\frac{p}{2}=x+1=2,解得x=1,即点M的横坐标是1

[20] 因为抛物线的焦点为(3,0),所以\frac{p}{2}=3,p=6,2p=12,所以焦点为(3,0)的抛物线的标准方程是y2=12x,

[24] 设P_{1}(x_{1},y_{1}),P_{2}(x_{2},y_{2}),得2x_{2}^{2-y_{2}}=\frac{2}{2}=2^{x}两式相减化简得直线的斜率,即得直线的方程.由题得2x^{2}-y^{2}=2,设P_{1}(x_{1},y_{1}),P_{2}(x_{2},y_{2}),所以\begin{cases}2x_{1}^{2}-y_{1}2=2\\2x_{2}^{2}-y_{2}=2'\end{cases}两式相减得2(x_{1}+x_{2})(x_{1}-x_{2})-(y_{1}+y_{2})(y_{1}-y_{2})=0由题得x_{1}+x_{2}=4,y_{1}+y_{2}=2所以8(x_{1}-x_{2})-2(y_{1}-y_{2})=0因为x_{1}\neqx_{2},所以\frac{y_{1}-y_{2}}{x_{1}-x_{2}}=k=4所以直线的方程为y-1=4(x-2),即y=4x-7.

[26] 抛物线y^{2}=8x的焦点为F(2,0),准线方程为x=-2,如图所示,|PA|=4,|AB|=2,F|=|PB|=|PA|+|AB|=6.

[27] 在直角AABF中,由勾股定理可得|AB|^{2}=|AF|^{2}+|BF|^{2}=6^{2}+8^{2}=100,解得|AB|=10设双曲线的另一个焦点为F,分类连接BF,AF根据双曲线的对称性可知,四边形AFBF为矩形,结合矩形的性质,可得2c=10,即c=5,由双曲线的定义可知2a=|AF|-|AF|=8-6=2,解得a=1.所以双曲线的离心率为e=\frac{c}{a}=5.[

[29] a^{2}=5,b^{2}=4,c^{2}=1,设|PF_{1}|=m_{1}|PF_{2}|=n,则由椭圆的定义可知m+n=2a=2\sqrt{5},所以m^{2}+n^{2}=20-2mn,因为\angleF_{1}PF_{2}=30^{\circ},由余弦定理可得|F_{1}F_{2}|^{2}=m^{2}+n^{2}-2mn\cos\angleF_{1}PF_{2},则mn=\frac{16}{2+\sqrt{3}},所以S_{\DeltaF_{1}PF_{2}}=\frac{1}{2}mn\sin30^{\circ}=\frac{1}{2}\times\frac{16}{2+\sqrt{3}}\times\frac{1}{2}=8-4\sqrt{3}

[30] 焦点F(1,0),准线方程x=-1,\therefore焦点到准线的距离是2.

[31] 抛物线y^{2}=4x的焦点为(1,0),设直线l为x=my+1,代入抛物线方程可得,y^{2}-4my-4=0,设A(x_{1},y_{1}),B(x_{2},y_{2}),则y_{1}+y_{2}=4m,y_{1}y_{2}=-4,由\overrightarrow{BA}=4\overrightarrow{BF},可得y_{1}=-3y_{2},由代入法,可得m^{2}=\frac{1}{3},又\triangleAOB的面积为S=\frac{1}{2}|OF|\cdot|y_{1}-y_{2}|=\frac{1}{2}\sqrt{(y_{1}+y_{2})^{2}-4}\overrightarrow{y_{1}y_{2}}=\frac{1}{2}\sqrt{16m^{2}+16}=\frac{4\sqrt{3}}{3}

[32] 由条件可知2a=2\sqrt{2},|F_{1}M|=2a+|F_{2}M|,|F_{1}N|=2a+|F_{2}N|\therefore|F_{1}M|+|F_{1}N|=4a+|F_{2}M|+|F_{2}N|=4\sqrt{2}+|MN|.当|MN|最小时,|F_{1}M|+|F_{1}N|取得最小值,由条件可知通径最短,即当直线l\botx轴时,|MN|最小,此时|MN|=\frac{2b^{2}}{a}=\frac{2}{\sqrt{2}}=\sqrt{2},所以|F_{M}|+|F_{N}|的最小值是5\sqrt{2},此时\triangleF_{1}MN的周长是.|F_{1}M|+|F_{N}|+|MN|=6\sqrt{2}放答客为:6.5

[35] 设M(x,y),则\overrightarrow{F_{1}M}=(x+c,y),\overrightarrow{F_{2}M}=(x-c,y),由\overrightarrow{F_{1}M}\cdot\overrightarrow{F_{2}M}=0\Rightarrowx^{2}+y^{2}=c^{2}\Rightarrowy^{2}=c^{2}-x^{2},又M在椭圆上,\thereforey^{2}=b^{2}-\frac{b^{2}}{a^{2}}x^{2},\thereforec^{2}-x^{2}=_{b^{2}-\frac{b^{2}}{a^{2}}x^{2}\Rightarrowx^{2}=a^{2}-\frac{a2b^{2}}{c^{2}}}又0\leqslantx^{2}\leqslanta^{2},\therefore0<2-\frac{1}{e^{2}}\leqslant1\Rightarrow\frac{\sqrt{2}}{2}\leqslante\leqslant1\because0<e<1\therefore\frac{\sqrt{2}}{2}\leqslante<1

[37] 有双曲线的方程可知,它的渐近线方程为y=\frac{b}{a}x'与y=-\frac{b}{a}x^{,}分别于x-3y+m=0,联立.方程组,解得A(\frac{-am}{a-3b},\frac{-bm}{a-3b}),B(\frac{-am}{a+3b},\frac{bm}{a+3b}),由|PA|=|PB|得,设AB的中点为Q,则Q\frac{-am}{2}+\frac{-am}{2},\frac{-bm}{2}+\frac{bm}{a+3b},PQ与已知直线垂直,故\frac{\frac{-bm}{a-3b}+\frac{bm}{a+3b}}{\frac{\frac{-3b}{am}+\frac{am}{a+3b}}}=-3,解得2a^{2}=8b^{2}=8(c^{2}-a^{2}),即\frac{c^{2}}{a^{2}}=\frac{5}{4}'\frac{c}{a}=\frac{\sqrt{5}}{2}

[38] 先求出直线l的方程,与椭圆方程联立,消去x,求出|y_{1}-y_{2}|利用S_{\triangleF_{1}AB}=\frac{1}{2}|F_{1}F_{2}||y_{1}-y_{2}|即可求出\triangleF_{1}AB的面积.羊解】由题意得:直线l:y=x-1设A(x_{1},y_{1}),B(x_{2},y_{2}),则有:\begin{cases}y=x-1\\3x^{2}+4y^{2}=12\end{cases}消去x得:7y^{2}+6y-9=0,=\frac{1}{2}\times2\times\sqrt{(y_{1}+y_{2})^{2}-4y_{1}y_{2}}=\frac{1}{2}\times2\times\frac{12\sqrt{2}}{7}=\frac{12\sqrt{2}}{7}即\triangleF_{1}AB的面积为

[39] 平面上的动点P到定点F_{1}F_{2}距离之和等于|F_{1}F_{2}|,不满足椭圆的定义,轨迹是线段F_{1}F_{2}.

[40] 由题意设抛物线方程为x^{2}=2py,又该抛物线过点(1,4)则1^{2}=2\times4\timesp,即p=\frac{1}{8}即抛物线方程为x^{2}=\frac{1}{4}y.

[41] 如图所示,设直线l为抛物线的准线,其方程为:x=-\frac{1}{2}过点P作PA\bot1,垂足为A点,则PA|=|PF|.\therefore当三点A,P,M共线时,当PM+|PF取得最小值|AM|,|AM|=4-(-\frac{1}{2})=\frac{9}{2}把y=2代入抛物线方程可得:2^{2}=2x,解得x=2.\thereforeP(2,2)

[42] 由题意,A(-a,0),双曲线C:\frac{x2}{a^{2}}-\frac{y^{2}}{b^{2}}=1(a>b>0)的渐近线方程为:y=\pm\frac{b}{a}x不妨令AM与直线y=\frac{b}{a}x垂直,AN与直线y=-\frac{b}{a}x垂直,则k_{AM}=-\frac{a}{b},k_{AN}=\frac{a}{b}所以直线AM的方程为:y=-\frac{a}{b}(x+a);直线AN的方程为:y=\frac{a}{b}(x+a)由\begin{cases}y=-\frac{a}{b}(x+a)\\y=\frac{b}{a}x\end{cases}解得:\begin{cases}x=-\frac{a3}{c^{2}}\\y=-\frac{ba^{2}}{c^{2}}\end{cases}(其中c^{2}=a^{2}+b^{2}),则M(-\frac{a3}{c^{2}},-\frac{ba2}{c^{2}})由\begin{cases}y-ax\\y=\frac{a}{b}(x+a)\\y=-\frac{b}{a}x\end{cases}解得:\begin{cases}x=-\frac{a3}{c^{2}}\\y=\frac{ba^{2}}{c^{2}}\end{cases},即N(-\frac{a^{3}}{c^{2}},\frac{ba2}{c^{2}})所以|MN|=\frac{2ba^{2}}{c2},又|MN|=\frac{4}{5}|OA|,所以\frac{2ba^{2}}{c^{2}}=\frac{4}{5}a,即2c^{2}=5ab,即2a^{2}-5ab+2b^{2}=0,解得:a=2b或a=\frac{b}{2}(不满足a>b)所以此双曲线的离心率是e=\frac{c}{a}=\sqrt{\frac{a^{2}+b^{2}}{a^{2}}}=\sqrt{\frac{5b^{2}}{4b^{2}}}=\frac{\sqrt{5}}{2}

[43] 依题意得2a=4b,c=\sqrt{3},又a^{2}=b^{2}+c^{2},\thereforea=2,b=1

[44] 联立\begin{cases}\frac{x^{2}}{4}-y^{2}=1,\\y=x+m,\end{cases}消去y得3x^{2}+8mx+4m^{2}+4=0,依题意有A=(8m)^{2}-4\times3\times(4m^{2}+4)>0,即m^{2}>3,解得m>\sqrt{3}或m<-\sqrt{3}

[46] 如图所示.由抛物线y^{2}=2px(p>0)的焦点为F,准线方程为x=-\frac{p}{2},分别过A,B作准线的垂线,垂足为A,B,直线l交准线于C,如图所示则|AA|=|AF|,|BB|=|BF|,|FA|=3|FB|,所以|AM|=2|BF|,|AB|=4|BF|,所以\angleABM=30^{\circ},即直线l的倾斜角等于\angleAFx=60^{\circ},同理可得直线l的倾斜角为钝角时即为120^{\circ}

[47] 由|PM|-|PN|=2\sqrt{2}<|MN|=4,结合双曲线定义可知动点P的轨迹为以M,N为焦点的双曲线右支,双曲线中2a=2\sqrt{2},2c=4,\thereforea=\sqrt{2},c=2,\thereforeb^{2}=2,轨迹方程为\frac{x^{2}}{2}-\frac{y^{2}}{2}=1(x>0).

[48] x^{2}+y^{2}-6x-7=0的圆心为(3,0),半径r=4,抛物线y^{2}=2px(p>0)的准线为x=-\frac{p}{2},由题意可知|3-(-\frac{p}{2})|=4,\thereforep=2或p=-14(舍).

[51] 双曲线C:x^{2}-\frac{y^{2}}{3}=1的离心率为e=\frac{\sqrt{1+3}}{1}=2^{,}则椭圆的离心率为\frac{1}{2},所以椭圆的标准方程可以为\frac{x^{2}}{4}+\frac{y^{2}}{3}=1.

[53] 因为\angleF_{1}BF_{2}=120^{\circ},所以\angleBF_{1}F_{2}=30^{\circ},即e=\frac{c}{a}=\cos30^{\circ}=\frac{\sqrt{3}}{2}

[54] 根据椭圆中焦点三角形的面积公式,代值计算即可求得因为\overrightarrow{PF}_{1}\bot\overrightarrow{PF}_{2},故\angleF_{1}PF_{2}=90^{\circ}由椭圆中焦点三角形的面积公式可得S=b^{2}\tan\frac{\angleF_{1}PF_{2}}{2}即4=b^{2}\times\tan45^{\circ}=b^{2},解得b=2

[55] 据题意,以AB为直径的圆过坐标原点,则\angleAOB=90^{\circ}由渐近线的对称性知,渐近线方程为y=\pmx,所以\frac{b^{2}}{a^{2}}=\frac{c^{2}-a^{2}}{a^{2}}=e^{2}-1=1故e=\sqrt{2}

[56] 设直线AB的方程并代入抛物线方程,根据韦达定理以及斜率公式,可得t的值,进而得到直线的方程羊解】依题意可设直线AB的方程为:x=ty+1,代入y^{2}=2x得y^{2}-2ty-2=0.设A(x_{1},y_{1}),B(x_{2},y_{2}),则y_{1}y_{2}=-2,y_{1}+y_{2}=2t所以_{k_{OA}}+k_{OB}=\frac{y_{1}}{x_{1}}+\frac{y_{2}}{x_{2}}=\frac{2}{y_{1}}+\frac{2}{y_{2}}=\frac{2(y_{1}+y_{2})}{y_{1}y_{2}}=\frac{4t}{-2}=-2t'\therefore-2t=1,解得t=-\frac{1}{2},\therefore直线AB的方程为:x=-\frac{1}{2}y+1,即2x+y-2=0

[57] 在抛物线y^{2}=4ax的方程中令x=1,则y=\pm2\sqrt{a},故4\sqrt{a}=4故a=1,所以抛物线的方程为:y^{2}=4x,故其焦点坐标为:(1,0).

[60] 圆的标准方程为(x-2)^{2}+(y+4)^{2}=1,圆心坐标为(2,-4)将圆心坐标代入抛物线方程可得2p\times2=(-4)^{2},解得p=4,因此,该抛物线的准线方程为x=-2.

[62] 由题意,设所求双曲线为\frac{x^{2}}{4}-\frac{y^{2}}{3}=1且\lambda\neq0,即\frac{x^{2}}{4\lambda}-\frac{y^{2}}{3\lambda}=1\because焦点在y轴上,虚轴长为4,\therefore\begin{cases}\lambda<0\\2\sqrt{-42}=4\end{cases},解得\lambda=-1,即双曲线C的方程为\frac{y^{2}}{3}-\frac{x^{2}}{4}=1

[63] 分析:由抛物线C的焦点为F(0,1),可得\frac{p}{2}=1,2p=4,从而可得抛物线C的标准方程详因为抛物线焦点在y正半轴,标准方程为x^{2}=2py.由焦点为F(0,1),可得\frac{p}{2}=1,2p=4,\thereforex^{2}=4y,

[65] 直接由双曲线的方程求解[详解]因为双曲线方程为\frac{x2}{9}-\frac{y^{2}}{16}=1所以双曲线的渐近线方程为\frac{x2}{9}-\frac{y^{2}}{16}=0,即y=\pm\frac{4}{3}x,

[66] 如图所示;\therefore直线AD的方程是\frac{x}{-a}+\frac{y}{b}=1,x\in[-a,0];\therefore\overrightarrow{PF_{1}}=(-c-x,-y),\overrightarrow{PF_{2}}=(c-x,-y)\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}=x^{2}-c^{2}+y^{2}=x^{2}+y^{2}-c^{2};设t=x^{2}+y2,则\sqrt{t}表示点P到原点O的距离,\therefore当P在A点时,\sqrt{t}最大,此时\overrightarrow{PF}\cdot\overrightarrow{PF_{2}}=(-a)^{2}-0^{2}-c^{2}=b^{2}=2;当P在点O到直线AD的距离时,\sqrt{t}最小,\therefore\overrightarrow{PF_{1}}\cdot\overrightarrow{PF_{2}}=\frac{2a^{2}}{a^{2}+2}-(a^{2}-2)=-\frac{2}{3}整理得3a^{4}-8a^{2}-16=0,解得a^{2}=4,或a^{2}=-\frac{4}{3}(舍去).综上,a^{2}=4,b^{2}=2,椭圆的方程是\frac{x^{2}}{4}+\frac{y^{2}}{2}=1

[67] \Square直线方程与双曲线方程联立得(2-k^{2})x^{2}-2kx-3=0,根据题意,方程只有一个解,分2-k^{2}=0和2-k^{2}\neq0两种情况讨论.把方程y=kx+1代入方程x^{2}-\frac{y^{2}}{2}=1,整理得(2-k^{2})x^{2}-2kx-3=0因为直线y=kx+1(k>0)与双曲线x^{2}-\frac{y^{2}}{2}=1有且只有一个交点当k=-\sqrt{2}时,得x=\frac{3\sqrt{2}}{4}成立当k=\sqrt{2}时,得x=-\frac{3\sqrt{2}}{1}成立,当k\neq\pm\sqrt{2}时,A=4k^{2}+12(2-k^{2})=0解得:k=\pm\sqrt{3}因为k>0,所以k=\sqrt{2}或k=\sqrt{3}

[70] 由|AF_{1}|=3|F_{1}B|,|AB|=4,得|AF_{1}|=3,|F_{1}B|=1.因为\triangleABF_{2}的周长为16.,所以|AB|+|AF_{2}|+|BF_{2}|=4a=16,解得a=4.又|AF_{1}|+|AF_{2}|=2a=8,所以|AF_{2}|=5.

[71] 由题意可知:抛物线的焦点坐标为(2,0)由题意知\frac{x^{2}}{a^{2}}+y^{2}=1表示焦点在x轴的椭圆,在椭圆中:b^{2}=1,c^{2}=a^{2}-1=4,所以a^{2}=5,因为a>0,所以a=\sqrt{5}

[73] 设椭圆的长半轴是a_{1},双曲线的实半轴是a_{2},它们的半焦距是c并设|PF_{1}|=m,|PF_{2}|=n,m>n,根据椭圆的和双曲线的定义可得m+n=2a_{1},m\cdotn=2a_{2}解得m=a_{1}+a_{2},n=a_{1}\cdota_{2}.\because|F_{1}F_{2}|=2|PO|,\thereforePF_{1}\botPF_{2},由勾股定理得|PF_{1}|^{2}+|PF_{2}|^{2}=|F_{1}F_{2}|^{2}\therefore(a_{1}+a_{2})^{2}+(a_{1}-a_{2})^{2}=(2c)^{2}化简可得a_{1}^{2}+a_{2}^{2}=2c^{2}\frac{\sqrt{2}}{2}\frac{1}{e_{2}^{2}}=2

[75] 由\overline{A}\overline{B}=3\overline{A}\overline{M},得M(\frac{2a^{2}}{3c},\frac{1}{3}a),将M坐标代入\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1,结合b^{2}=a^{2}-c^{2}化简为\frac{4a^{2}}{9c^{2}}+\frac{a^{2}}{9a^{2}-9c^{2}}=1得\frac{4}{9e^{2}}+\frac{1}{9-9e^{2}}=1解得e^{2}=\frac{2}{3},e=\frac{\sqrt{6}}{3}.【思路点晴】本题主要考查的是椭圆的简单几何性质和向量共线的性质,属于难题.本题先由\overline{AB}=3\overline{AM}利用向量共线的性质和已知的A(\frac{a^{2}}{c},0),B(0,a)点坐标,求出M点的坐标M(\frac{2a^{2}}{3c},\frac{1}{3}a),通过该点在椭圆上,代入方程\frac{x^{2}}{a^{2}}+\frac{y^{2}}{3^{2}}=1,转化得到关于a,c的方程,由此计算出椭圆的离心率.老点:1.进线向量:2椭圆的离心率

[77] 因为AF_{1}PF_{2}的面积为\sqrt{3},所以有b^{2}\tan\frac{120^{\circ}}{2}=\sqrt{3},故b=1,短轴长为2b=2

[79] 因为椭圆\frac{x^{2}}{5}+\frac{y^{2}}{m}=1的焦点在x轴上,故a^{2}=5,b^{2}=m(0<m<5),所以c^{2}=a^{2}-b^{2}=5-m'因为离心率e=\frac{\sqrt{10}}{5},故e=\frac{c}{a}=\frac{\sqrt{5-m}}{\sqrt{5}}=\frac{\sqrt{10}}{5},解方程得:m=3故答客为:3

[83] 令P(x,y),又A(-a,0),F_{1}(-c,0),F_{2}(c,0),则3(-a-x,-y)=2(-c-x,-y)+(c-x,-y),(-3a-3x,-3y)=(-c-3x,-3y),故-3a-3x=-c-3x\thereforee=\frac{c}{a}=3.

[84] 设直线l与椭圆交于A,B两点,A(x_{1},y_{1}),B(x_{2},y_{2})所以\begin{cases}\frac{x^{2}}{4}+\frac{y^{2}}{8}=1\\\frac{x^{2}}{2}+\frac{y^{2}}{8}=1\end{cases},所以\frac{x^{2}}{4}-\frac{x^{2}}{4}=-(\frac{y_{1}^{2}}{8}-\frac{y^{2}}{8})所以-2\cdot\frac{x_{1}^{8}+x_{2}}{y_{1}+y_{0}}=\frac{y_{1}-y_{2}}{x_{1}-x_{2}},且x_{1}+x_{2}=2x_{P}=2,y_{1}+y_{2}=2y_{P}=4所以k_{1}=\frac{y_{1}-y_{2}^{2}}{x_{1}-x_{2}}=-2\cdot\frac{2}{4}=-1,所以l:y-2=-(x-1)即x+y-3=0

[86] 因为椭圆x^{2}+ky^{2}=1的两个焦点在圆x^{2}+y2=4上,所以c=2因为x^{2}+\frac{y^{2}}{\frac{1}{k}}=1所以当0<k<1时,a^{2}=\frac{1}{k},b^{2}=1,由a^{2}=b^{2}+c^{2}可得k=\frac{1}{5}当k>1时,b^{2}=\frac{1}{k},a^{2}=1,此时不成立所以k=\frac{1}{5}

[87] 由题意,椭圆C:\frac{x^{2}}{a^{2}}+\frac{y^{2}}{b^{2}}=1(a>b>0)的右顶点为A(\sqrt{5},0),可得a=\sqrt{5}又由椭圆的离心率为\frac{\sqrt{5}}{5},即\frac{c}{a}=\frac{\sqrt{5}}{5},可得c=1,,所以2b=4,即椭圆的短轴长为4

[88] 由题设可得3b=2c,\therefore9a^{2}=5c^{2},则双曲线的离心率e=\frac{3\sqrt{5}}{5}.故应填\frac{3\sqrt{5}}{5}.

[89] 由抛物线的定义可知PF等于P到抛物线准线x=-1的距离记为d,所以PM+PF=PM+d,由三角形两边之和大于第三边可知,但P位于过M向抛物线的准线作垂线与抛物线的交点时PM+PF取最小,此时求的点P(1,2)

[91] 将椭圆方程化为:\frac{x^{2}}{1}+\frac{y^{2}}{\frac{1}{4k}}=1\therefore\frac{1}{k}-\frac{1}{4k}=9,解得:k=\frac{1}{12}

[92] 由题意,抛物线C:y^{2}=4x,可得焦点F(1,0),准线方程为x=-1.设A(x_{1},y_{1}),B(x_{2},y_{2}),直线AB的方程为\sqrt{3}x-y-\sqrt{3}=0联立方程组\begin{cases}\sqrt{3}x-y-\sqrt{3}=0\\\end{cases}整理得3x^{2}-10x+3=0,y^{2}=4x则x_{1}+x_{2}=\frac{10}{3},所以弦AB的中点的横坐标为\frac{5}{3},则弦AB的中点到准线的距离为\frac{5}{3}+1=\frac{8}{3}.

[93] 依题意可知a=1,b=\frac{1}{2},设B(0,1),由|PF_{1}|-|PF_{2}|=2得|PQ|+|PF_{1}|=|PQ|+|PF_{2}|+2\geqslant|QF_{2}|+2,问题转化为求点F_{2}到圆B上点的最小值,即|QF_{2}|_{\min}=|BF_{2}|-1=\frac{3}{2}-1=\frac{1}{2},故(|PQ|+|PF_{1})_{\min}=\frac{1}{2}+2=\frac{5}{2}

[94] 由\frac{x^{2}}{9}-y^{2}=1知,a^{2}=9,所以a=3,所以实轴长2a=6.

[96] 由双曲线\frac{x2}{16}-\frac{y^{2}}{20}=1,则a=4,又由双曲线定义可得||PF_{1}|-|PF_{2}||=2a=8,所以|PF_{1}|-|PF_{2}|=8或|PF_{1}|-|PF_{2}|=-8,因为|PF_{1}|=9,所以|PF_{2}|=17或1,又因为|PF_{2}|\geqslantc-a=2,所以|PF_{2}|=1(舍去)所以|PF_{2}|=17

[98] 因为点M(0,2),抛物线y^{2}=4x的焦点F(1,0)所以k_{MF}=\frac{2-0}{0-1}=-2,由\overrightarrow{AM}\cdot\overrightarrow{FM}=0可得AM\botFM,所以直线AM的斜率k_{AM}=\frac{1}{2},所以直线AM的方程为y-2=\frac{1}{2}x即y=\frac{1}{2}x+2,由\begin{cases}y=\frac{1}{2}x+2\\v2=4x\end{cases}化简得x^{2}-8x+16=0,解得x=4,可得点A(4,4)所以直线AF的斜率k_{AF}=\frac{4}{4-1}=\frac{4}{3},所以直线AF的方程为:y=\frac{4}{3}(x-1)联立\begin{cases}y2=4x\\y=\frac{4}{2}(x-1)\end{cases},消去x可得:y^{2}-3y-4=0,解得y=-1或y=4,所以点R的纵坐标为-1.

[100] 上顶点M(0,1),右焦点F为垂心(1,0)因为k_{FM}=-1,且FM\botl,所以k_{1}=1,所以设PQ直线y=x+m且设P(x_{1},y_{1}),Q(x_{2},y_{2})由\begin{cases}y=x+m\\\frac{x^{2}}{2}+y^{2}=1\end{cases}消y,得3x^{2}+4mx+2m^{2}\cdot2=0\triangle=16m^{2}\cdot12(2m^{2}\cdot2)>0,m^{2}<3,x_{1}+x_{2}=\frac{4m}{3},x_{1}x_{2}=\frac{2n}{}\frac{12-2}{3}y_{1}y_{2}=(x_{1}+m)(x_{2}+m)=x_{1}x_{2}+m(x_{1}+x_{2})_{+m^{2}}2\frac{m^{2}-2}{3}-\frac{4m^{2}}{3}+m^{2}=\frac{m^{2}-2}{3}又F为\triangleMPQ的垂心,\thereforePF\botMQ,\therefore\overrightarrow{PF}\cdot\overrightarrow{MO}=0又\frac{}{PF}\sqrt{2}-y_{1},\overrightarrow{MQ}=(x_{2},y_{2}-1\therefore\overrightarrow{PF}\cdot\overrightarrow{MQ}=x_{2}+y_{1}-x_{1}x_{2}-y_{1}y_{2}=x_{2}+x_{1}+m-x_{1}x_{2}-y_{1}y_{2}=-\frac{4}{3}m+m-\frac{2m^{2}-2}{3}-\frac{m^{2}-2}{3}=0\therefore-\frac{m}{3}-m^{2}+\frac{4}{3}=0,\therefore3m^{2}+m-4=0,m=-\frac{4}{2},m=1经检验满足m^{2}<3\therefore存在满足条件直线l方程为:x-y+1=0,3x-3y-4=0\becausex\cdoty+1=0过M点即MP重合不构成三角形,\therefore3x\cdot3v\cdot4=0满足题意

[102] 由题意得F(-2,0),F_{2}(2,0),点A在双曲线的右支上.又点M的坐标为(\frac{2}{3},0)\therefore|F_{1}M|=2+\frac{2}{3}=\frac{8}{3},|MF_{2}|=2-\frac{2}{3}=\frac{4}{3}画出图形如图所示,MP\botAF_{1},MQ\botAF_{2},垂足分别为P,Q,AM为\angleF_{1}AF_{2}的平分线,\frac{|AF_{1}|}{|AF_{2}|}=\frac{|F_{1}M|}{|MF_{2}|}=2,即|AF_{1}|=2|AF_{2}|又|AF_{1}|-|AF_{2}|=2,\therefore|AF_{1}|=4,|AF_{2}|=2.

[103] 由题意得a=b,又c^{2}=a^{2}+b^{2}=2a^{2},则c=\sqrt{2}a所以离心率为e=\frac{c}{a}=\sqrt{2},

