sample_id,before_curve_type,after_curve_type,before_query_type,after_query_type,query_type_changed,before_reasoning_success,after_reasoning_success,reasoning_transition,before_final_answer_correct,after_final_answer_correct,correctness_transition,before_failure_reason,after_failure_reason,before_reasoning_failure_reason,after_reasoning_failure_reason,before_num_steps,after_num_steps,num_steps_delta,before_first_model,after_first_model,before_last_model,after_last_model,before_model_sequence_len,after_model_sequence_len,model_sequence_changed,model_sequence_lcp,new_model_ids_after,removed_model_ids_after,after_repeated_model_loop,expected_answer,before_predicted_answer,after_predicted_answer,query,facts,before_model_sequence,after_model_sequence
465,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,y=pm*(4/3)*x,y=-4*x/3,y=-4*x/3,Expression(Asymptote(C)),C: Hyperbola;b: Number;a: Number;a>0;b>0;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);Eccentricity(C) = 5/3,21,21
529,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,29,29,15,15,False,15,,,True,1,Slope not found,Slope not found,"Slope(LineOf(K,P))","C: Parabola;l: Line;K: Point;P: Point;F: Point;x1:Number;y1:Number;y1>0;Expression(C) = (y^2 = 4*x);Coordinate(P) = (x1, y1);Focus(C) = F;Directrix(C)=l;Intersection(l, xAxis) = K;PointOnCurve(P, C);WhenMax(Abs(LineSegmentOf(P,K))/Abs(LineSegmentOf(P,F)))",2 29 29 29 29 29 29 29 29 29 29 29 29 29 29,2 29 29 29 29 29 29 29 29 29 29 29 29 29 29
551,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,1,1,1,1,15,15,False,15,,,True,x^2 - y^2/3 = 1,No equation found,No equation found,Expression(G),"G: Hyperbola;H: Point;O: Origin;Coordinate(H) = (2, 3);Center(G) = O;PointOnCurve(Focus(G), xAxis);FocalLength(G) = 2*c;2*c = 4;c: Number;PointOnCurve(H, G)",1 1 1 1 1 1 1 1 1 1 1 1 1 1 1,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
578,Other,Other,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,-12,,,Min(z),x:Number;y:Number;2*x + y - 2 <= 0;-2*x + y^2 <= 0;z=x+y;z:Number,,
593,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,56,56,56,56,1,1,False,1,,,False,-sqrt(7)/3,Slope not found,Slope not found,Slope(l),"l: Line;C: Ellipse;F: Point;A: Point;B: Point;O: Origin;Expression(C) = (x^2/9 + y^2/7 = 1);LeftFocus(C) = F;PointOnCurve(O, l);Intersection(l, C) = {A, B};Quadrant(A)=2;AngleOf(F, A, B) = AngleOf(B, F, O)",56,56
657,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,65,65,63,63,15,15,False,15,,,True,x^2/4-y^2/16=1,Expression(C1) = (x^2-y^2/4=1),Expression(C1) = (x^2-y^2/4=1),Expression(C),"C: Hyperbola;C1: Hyperbola;Expression(C1) = (x^2-y^2/4=1);Asymptote(C) = Asymptote(C1);G: Point;Coordinate(G) = (2, 0);PointOnCurve(G, C)",65 63 63 63 63 63 63 63 63 63 63 63 63 63 63,65 63 63 63 63 63 63 63 63 63 63 63 63 63 63
665,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,1,1,1,1,1,1,False,1,,,False,8,p: Number,p: Number,p,G: Hyperbola;H: Parabola;p: Number;Expression(G) = (x^2/12 - y^2/4 = 1);p>0;Expression(H) = (y^2 = 2*p*x);Focus(H) = RightFocus(G),1,1
725,Ellipse,Ellipse,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,13,13,13,13,15,15,False,15,,,True,"(1,3)+(3,+oo)","(0, 3)+(3, +oo)","(0, 3)+(3, +oo)",Range(m),"G: Ellipse;m: Number;H: Line;Expression(G) = (y^2/3 + x^2/m = 1);Expression(H) = (y = x + 2);NumIntersection(H, G) = 2",13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
757,Circle,Circle,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,54,54,62,62,15,15,False,15,,,True,(x-3/2)^2+(y-2)^2=5/4,Expression(C) = ((x - 1)^2 + (y - 1)^2 = 9),Expression(C) = ((x - 1)^2 + (y - 1)^2 = 9),LocusEquation(P),"C: Circle;Expression(C) = ((x - 1)^2 + (y - 1)^2 = 9);A: Point;Coordinate(A) = (2, 3);L: LineSegment;PointOnCurve(A, L) = True;IsChordOf(L, C) = True;MidPoint(L) = P;P: Point",54 62 62 62 62 62 62 62 62 62 62 62 62 62 62,54 62 62 62 62 62 62 62 62 62 62 62 62 62 62
772,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,63,63,15,15,False,15,,,False,2,p,p,p,"G: Parabola;Expression(G) = (y^2 = 2*(p*x));p: Number;p>0;H: Circle;Expression(H) = (-2*y + x^2 + y^2 - 1 = 0);Length(InterceptChord(Directrix(G), H)) = 2",29 29 29 29 29 29 29 29 63 63 63 63 63 63 63,29 29 29 29 29 29 29 29 63 63 63 63 63 63 63
780,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,29,29,29,29,15,15,False,15,,,True,pm*1,Slope not found,pm*1,Slope(l),"l: Line;G: Parabola;A: Point;B: Point;F: Point;M: Point;Expression(G) = (y^2 = 8*x);Focus(G) = F;PointOnCurve(F, l);Intersection(l, G) = {A, B};MidPoint(LineSegmentOf(A, B)) = M;Distance(M, Directrix(G)) = 8",29 29 29 29 29 29 29 29 29 29 29 29 29 29 29,29 29 29 29 29 29 29 29 29 29 29 29 29 29 29
805,Ellipse,Ellipse,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,13,13,13,13,15,15,False,15,,,True,"(-1,1)","(-1, 1)+(1, 3)","(-1, 1)+(1, 3)",Range(k),"G: Ellipse;Expression(G) = (x^2/(3 - k) + y^2/(k + 1) = 1);k: Number;PointOnCurve(Focus(G), xAxis) = True",13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
840,Other,Other,Range,Range,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,65,65,65,65,15,15,False,15,,,True,"[-sqrt(3), sqrt(3)]",Range(b) not found,Range(b) not found,Range(b),"G: Line;Expression(G) = (y = b + k*(x - 2));k: Number;b: Number;H: Curve;Expression(H) = (x^2 - y^2 = 1);IsIntersect(G, H)",65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
850,Hyperbola,Hyperbola,Length,Length,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,8,FocalLength not found,FocalLength not found,FocalLength(G),G: Hyperbola;a: Number;Expression(G) = (-y^2/12 + x^2/a^2 = 1);Eccentricity(G) = e;e:Number;e=2,21,21
852,Parabola,Parabola,Value,Value,False,False,True,failure->success,False,True,wrong->correct,max_steps,none,max_steps,none,15,15,0,29,29,62,62,15,15,False,15,,,False,p/y0,Slope not found,p/y0,"Slope(LineOf(P, Q))","G: Parabola;Expression(G) = (y^2 = 2*(p*x));p: Number;p>0;P: Point;Q: Point;IsChordOf(LineSegmentOf(P, Q), G);x0: Number;y0: Number;Negation(y0=0);M: Point;Coordinate(M) = (x0, y0);MidPoint(LineSegmentOf(P, Q)) = M",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
911,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(2),sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(C),"C: Hyperbola;Expression(C) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;c: Number;FocalLength(C) = 2*c;A: Point;RightVertex(C) = A;M: Point;N: Point;PointOnCurve(M,l) = True;PointOnCurve(N,l) = True;Abs(LineSegmentOf(A, M)) = Abs(LineSegmentOf(A, N));AngleOf(M, A, N) = ApplyUnit(120, degree);Abs(LineSegmentOf(A, N)) = c;l: Line;OneOf(Asymptote(C)) = l",21,21
926,Ellipse,Ellipse,Range,Range,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,13,13,13,13,15,15,False,15,,,True,"(1, 3/2)+(3/2, 2)","(1, 3/2)+(3/2, 2)","(1, 3/2)+(3/2, 2)",Range(a),G: Ellipse;Expression(G) = (x^2/(2 - a) + y^2/(a - 1) = 1);a: Number,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13,13 13 13 13 13 13 13 13 13 13 13 13 13 13 13
952,Parabola,Parabola,Length,Length,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,2,2,62,62,15,15,False,15,,,False,9/4,Length(LineSegmentOf) not found,Length(LineSegmentOf) not found,"Length(LineSegmentOf(A,B))","O: Origin;F: Point;Focus(C) = F;C: Parabola;Expression(C) = (y^2 = 2*x);l: Line;Expression(l) = (y = m*(2*x - 1));A: Point;B: Point;Intersection(l, C) = {A, B};Quadrant(A) = 1;Abs(LineSegmentOf(A, F)) = 2*Abs(LineSegmentOf(B, F));m: Number",2 29 29 29 29 29 29 29 29 29 62 62 62 62 62,2 29 29 29 29 29 29 29 29 29 62 62 62 62 62
1036,Circle,Circle,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,62,62,62,62,15,15,False,15,,,True,6*x-8*y-21=0,Expression(M)=((x - 3)^2 + (y - 4)^2 = 4),Expression(M)=((x - 3)^2 + (y - 4)^2 = 4),LocusEquation(P),"M: Circle;P: Point;O: Origin;T: Point;L:Line;Expression(M)=((x - 3)^2 + (y - 4)^2 = 4);PointOnCurve(P, L);TangentOfPoint(P, M)=L;TangentPoint(L,M)=T;LineSegmentOf(P, O) = LineSegmentOf(P, T)",62 62 62 62 62 62 62 62 62 62 62 62 62 62 62,62 62 62 62 62 62 62 62 62 62 62 62 62 62 62
1148,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,1/3,"Expression 'Abs(LineSegmentOf(N, F))/Abs(LineSegmentOf(A, B))' not found","Expression 'Abs(LineSegmentOf(N, F))/Abs(LineSegmentOf(A, B))' not found","Abs(LineSegmentOf(N, F))/Abs(LineSegmentOf(A, B))","G: Ellipse;H: Line;A: Point;B: Point;N: Point;F: Point;Expression(G) = (x^2/9 + y^2/5 = 1);LeftFocus(G) = F;PointOnCurve(F, H);Negation(IsPerpendicular(xAxis, H));Intersection(H, G) = {A, B};Intersection(PerpendicularBisector(LineSegmentOf(A, B)), xAxis) = N",13,13
1158,Other,Other,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"{(b^2/4+4)&(0,4],(2*b)&(b>4)}",,,Max(x1^2+2*y1),"G: Curve;b: Number;H: Point;b>0;Expression(G) = (x^2/4 + y^2/b^2 = 1);Coordinate(H) = (x1, y1);x1:Number;y1:Number;PointOnCurve(H,G)",,
1185,Circle,Circle,Equation,Equation,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,75,75,63,63,15,15,False,15,,,True,"{(y^2 = 20*x)&(x > 0), (y = 0)&(x < 0)}",Expression(C) = (-10*x + x^2 + y^2 = 0),Expression(C) = (-10*x + x^2 + y^2 = 0),LocusEquation(P),"C: Circle;Expression(C) = (-10*x + x^2 + y^2 = 0);H: Circle;P: Point;IsTangent(H, yAxis);IsOutTangent(C, H);Center(H) = P",75 63 63 63 63 63 63 63 63 63 63 63 63 63 63,75 63 63 63 63 63 63 63 63 63 63 63 63 63 63
1269,Ellipse,Ellipse,Eccentricity,Eccentricity,False,True,True,success->success,True,True,correct->correct,none,none,none,none,15,15,0,0,0,0,0,15,15,False,15,,,True,sqrt(2)/2,sqrt(2)/2,sqrt(2)/2,Eccentricity(G),G: Ellipse;Expression(G) = (2*x^2 + y^2 = 4),0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1290,Parabola,Parabola,Value,Value,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,42,42,43,43,15,15,False,15,,,True,"ApplyUnit(30,degree)",AngleOf not found,Angle not found,"AngleOf(N, M, F)","G: Parabola;N: Point;F: Point;M: Point;Expression(G) = (x^2 = 4*y);Focus(G) = F;Intersection(Directrix(G), yAxis) = M;PointOnCurve(N, G);Abs(LineSegmentOf(N, F)) = (sqrt(3)/2)*Abs(LineSegmentOf(M, N))",42 42 42 43 43 43 43 43 43 43 43 43 43 43 43,42 42 42 43 43 43 43 43 43 43 43 43 43 43 43
1324,Ellipse,Ellipse,Equation,Equation,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,63,63,63,63,1,1,False,1,,,False,x^2/9+y^2/7=1,x^2/9+y^2/7=1,x^2/9+y^2/7=1,Expression(C),"C: Ellipse;Expression(C) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;F1: Point;F2: Point;Focus(C) = {F1, F2};H: Line;PointOnCurve(F1, H);A: Point;B: Point;Intersection(H, C) = {A, B};Perimeter(TriangleOf(A, B, F2)) = 12;Eccentricity(C) = sqrt(2)/3",63,63
1328,Parabola,Parabola,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,no_model,no_model,no_model,no_model,0,0,0,none,none,none,none,0,0,False,0,,,False,"(0,1/(4*a))",,,Coordinate(Focus(G)),G: Parabola;a: Number;Negation(a=0);Expression(G) = (y = a*x^2),,
1350,Hyperbola,Hyperbola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,65,65,65,65,15,15,False,15,,,True,pm*1/2,k: Number,k: Number,k,E: Hyperbola;F: Line;k: Number;Expression(E) = (x^2 - 4*y^2 = 1);Expression(F) = (y = k*x);F = OneOf(Asymptote(E)),65 65 65 65 65 65 65 65 65 65 65 65 65 65 65,65 65 65 65 65 65 65 65 65 65 65 65 65 65 65
1356,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,63,63,63,63,1,1,False,1,,,False,8,m: Real,m: Real,m,G: Parabola;m: Real;H: Ellipse;Expression(G) = (y^2 = m*x);Expression(H) = (x^2/6 + y^2/2 = 1);Focus(G) = RightFocus(H),63,63
1419,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,"(sqrt(6)/2, +oo)",Range(Eccentricity(G)) not found,Range(Eccentricity(G)) not found,Range(Eccentricity(G)),G: Hyperbola;Expression(G) = (-y^2/(3 - a^2) + x^2/a^2 = 1);a: Number;0<a;a<sqrt(2),21,21
1598,Ellipse,Ellipse,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,"[sqrt(2)-1, 1)",Range(e) not found,Range(e) not found,Range(e),"G: Ellipse;Expression(G) = (y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a > b;b > 0;F1: Point;F2: Point;LeftFocus(G) = F1;RightFocus(G) = F2;e: Number;Eccentricity(G) = e;P: Point;PointOnCurve(P, G);LineSegmentOf(P, F1)/LineSegmentOf(P, F2) = e",13,13
1651,Hyperbola,Hyperbola,Equation,Equation,False,True,True,success->success,True,True,correct->correct,none,none,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,x^2/4-y^2=1,x^2/4-y^2=1,x^2/4-y^2=1,Expression(G),G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;FocalLength(G) = 2*sqrt(5);2*Length(ImageinaryAxis(G)) = Length(RealAxis(G)),21,21
1740,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,13,13,13,13,1,1,False,1,,,False,sqrt(65)/5,sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;b: Number;a: Number;F1: Point;A: Point;F2: Point;B: Point;a>0;b>0;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);LeftFocus(G) =F1;RightFocus(G)=F2;PointOnCurve(A, RightPart(G));Intersection(LineSegmentOf(A,F1),LeftPart(G))=B;IsPerpendicular(LineSegmentOf(A, F2), LineSegmentOf(B, F2));Abs(LineSegmentOf(B, F1)) = Abs(LineSegmentOf(A, F2))/3",13,13
1752,Hyperbola,Hyperbola,Range,Range,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,65,65,65,65,1,1,False,1,,,False,"(1, sqrt(2))",Range(e) not found,Range(e) not found,Range(e),G: Hyperbola;Expression(G) = (-y^2 + x^2/a^2 = 1);a: Number;e: Number;a > 1;Eccentricity(G) = e,65,65
1766,Hyperbola,Hyperbola,Eccentricity,Eccentricity,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,1,1,0,21,21,21,21,1,1,False,1,,,False,sqrt(2),sqrt(1+b^2/a^2),sqrt(1+b^2/a^2),Eccentricity(G),"G: Hyperbola;Expression(G) = (-y^2/b^2 + x^2/a^2 = 1);b: Number;a: Number;a>0;b>0;H: Line;Expression(H) = (x - y + 3 = 0);IsParallel(OneOf(Asymptote(G)),H) = True",21,21
1788,Ellipse,Ellipse,Value,Value,False,True,True,success->success,False,True,wrong->correct,answer_mismatch,none,none,none,15,15,0,0,0,0,0,15,15,False,15,,,True,1,k: Real,1,k,"G: Ellipse;k: Real;Expression(G) = (k*y^2 + 5*x^2 = 5);Coordinate(OneOf(Focus(G))) = (0, 2)",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1816,Ellipse,Ellipse,Coordinate,Coordinate,False,False,False,failure->failure,False,False,wrong->wrong,max_steps,max_steps,max_steps,max_steps,15,15,0,56,56,13,13,15,15,False,15,,,True,"(1,3/2)",Coordinate(A) not found,Coordinate(A) not found,Coordinate(A),"G: Ellipse;Expression(G) = (x^2/4 + y^2/3 = 1);F: Point;RightFocus(G) = F;A: Point;PointOnCurve(A, G) = True;Quadrant(A) = 1;Intersection(OverlappingLine(LineSegmentOf(A, F)), G) = B;B: Point;Intersection(OverlappingLine(LineSegmentOf(A, O)), G) = C;C: Point;O: Origin;Area(TriangleOf(A, B, C)) = 3",56 13 13 13 13 13 13 13 13 13 13 13 13 13 13,56 13 13 13 13 13 13 13 13 13 13 13 13 13 13
1821,Parabola,Parabola,Value,Value,False,True,True,success->success,False,False,wrong->wrong,answer_mismatch,answer_mismatch,none,none,15,15,0,29,29,62,62,15,15,False,15,,,False,2*sqrt(2)/3,k: Number,k: Number,k,"G: Parabola;H: Line;B: Point;N: Point;A: Point;M: Point;k:Number;Expression(G) = (y^2 = 4*x);k>0;Expression(H) = (y = k*(x + 1));Intersection(H, G) = {A, B};Projection(A,Directrix(G))=M;Projection(B,Directrix(G))=N;Abs(LineSegmentOf(B, N)) = 2*Abs(LineSegmentOf(A, M))",29 29 29 29 29 29 29 62 62 62 62 62 62 62 62,29 29 29 29 29 29 29 62 62 62 62 62 62 62 62
