path_type,outcome,metric,n,positive_count,negative_count,pearson,spearman,positive_mean,negative_mean,mean_diff_positive_minus_negative
model,reasoning_success,heuristic_monotonicity_rate,33,25,8,0.0,0.0,1.0,1.0,0.0
model,reasoning_success,initial_learned_entropy,33,25,8,-0.01810754,-0.06684613,0.86527175,0.86772036,-0.00244861
model,reasoning_success,final_learned_entropy,33,25,8,0.00972736,0.06703128,0.2786305,0.27362981,0.00500069
model,reasoning_success,mean_learned_entropy,33,25,8,0.02264139,-0.00742611,0.55076714,0.543594,0.00717314
model,reasoning_success,learned_entropy_delta,33,25,8,-0.013765,-0.05200448,0.58664125,0.59409055,-0.0074493
model,reasoning_success,learned_monotonicity_rate,33,25,8,0.0,0.0,1.0,1.0,0.0
random,final_answer_correct,initial_heuristic_entropy,33,3,30,0.12276071,0.25374408,0.80166667,0.78343333,0.01823333
random,final_answer_correct,final_heuristic_entropy,33,3,30,0.21236155,0.29355622,0.78166667,0.68865,0.09301667
random,final_answer_correct,mean_heuristic_entropy,33,3,30,0.20508441,0.30463382,0.79166667,0.7347631,0.05690357
random,final_answer_correct,heuristic_entropy_delta,33,3,30,-0.19229479,-0.26219479,0.02,0.09478333,-0.07478333
random,final_answer_correct,heuristic_monotonicity_rate,33,3,30,0.0,0.0,1.0,1.0,0.0
random,final_answer_correct,initial_learned_entropy,33,3,30,-0.17063904,-0.18822462,0.8345945,0.86899244,-0.03439794
random,final_answer_correct,final_learned_entropy,33,3,30,0.18740801,0.19959718,0.46094848,0.31715228,0.1437962
random,final_answer_correct,mean_learned_entropy,33,3,30,0.1425253,0.16605279,0.64777149,0.58062986,0.06714163
random,final_answer_correct,learned_entropy_delta,33,3,30,-0.22489596,-0.2334316,0.37364602,0.55184016,-0.17819414
random,final_answer_correct,learned_monotonicity_rate,33,3,30,0.0,0.0,1.0,1.0,0.0
random,reasoning_success,initial_heuristic_entropy,33,25,8,-0.17102384,0.10969521,0.78096,0.798,-0.01704
random,reasoning_success,final_heuristic_entropy,33,25,8,0.16332761,0.19320796,0.70874,0.66075,0.04799
random,reasoning_success,mean_heuristic_entropy,33,25,8,0.09663402,0.22293227,0.74429648,0.72631012,0.01798636
random,reasoning_success,heuristic_entropy_delta,33,25,8,-0.24927011,-0.2619573,0.07222,0.13725,-0.06503
random,reasoning_success,heuristic_monotonicity_rate,33,25,8,0.0,0.0,1.0,1.0,0.0
random,reasoning_success,initial_learned_entropy,33,25,8,-0.01810754,-0.06684613,0.86527175,0.86772036,-0.00244861
random,reasoning_success,final_learned_entropy,33,25,8,0.09940614,0.08182402,0.34262846,0.29146279,0.05116568
random,reasoning_success,mean_learned_entropy,33,25,8,0.12258756,-0.00742611,0.59612501,0.55738564,0.03873937
random,reasoning_success,learned_entropy_delta,33,25,8,-0.10087012,-0.13422058,0.52264329,0.57625758,-0.05361429
random,reasoning_success,learned_monotonicity_rate,33,25,8,0.0,0.0,1.0,1.0,0.0
all_joined_trajectories,final_answer_correct,initial_heuristic_entropy,78,8,70,0.157675,0.25726703,0.803,0.78207143,0.02092857
all_joined_trajectories,final_answer_correct,final_heuristic_entropy,78,8,70,0.03644885,0.07978629,0.600875,0.57919286,0.02168214
all_joined_trajectories,final_answer_correct,mean_heuristic_entropy,78,8,70,0.05760775,0.09855891,0.6729375,0.64649554,0.02644196
all_joined_trajectories,final_answer_correct,heuristic_entropy_delta,78,8,70,-0.0013551,-0.02163032,0.202125,0.20287857,-0.00075357
all_joined_trajectories,final_answer_correct,heuristic_monotonicity_rate,78,8,70,0.0,0.0,1.0,1.0,0.0
all_joined_trajectories,final_answer_correct,initial_learned_entropy,78,8,70,-0.1952343,-0.22535735,0.83507208,0.87130107,-0.03622899
all_joined_trajectories,final_answer_correct,final_learned_entropy,78,8,70,0.13905716,0.14479967,0.39169498,0.29181425,0.09988074
all_joined_trajectories,final_answer_correct,mean_learned_entropy,78,8,70,0.09532436,0.12389009,0.60550906,0.56385538,0.04165368
all_joined_trajectories,final_answer_correct,learned_entropy_delta,78,8,70,-0.1820011,-0.19447168,0.44337709,0.57948682,-0.13610973
all_joined_trajectories,final_answer_correct,learned_monotonicity_rate,78,8,70,0.0,0.0,1.0,1.0,0.0
all_joined_trajectories,reasoning_success,initial_heuristic_entropy,78,60,18,-0.12247097,0.17698934,0.78151667,0.79322222,-0.01170556
all_joined_trajectories,reasoning_success,final_heuristic_entropy,78,60,18,-0.10950891,-0.08381334,0.57059167,0.6175,-0.04690833
all_joined_trajectories,reasoning_success,mean_heuristic_entropy,78,60,18,-0.15126414,-0.07299825,0.63767012,0.68766561,-0.04999549
all_joined_trajectories,reasoning_success,heuristic_entropy_delta,78,60,18,0.08791101,0.09209925,0.210925,0.17572222,0.03520278
all_joined_trajectories,reasoning_success,heuristic_monotonicity_rate,78,60,18,0.0,0.0,1.0,1.0,0.0
all_joined_trajectories,reasoning_success,initial_learned_entropy,78,60,18,-0.08171424,-0.12576377,0.86506552,0.87598445,-0.01091893
all_joined_trajectories,reasoning_success,final_learned_entropy,78,60,18,0.044909,0.05145678,0.30741863,0.28419106,0.02322758
all_joined_trajectories,reasoning_success,mean_learned_entropy,78,60,18,0.04931165,-0.01081346,0.57170818,0.55619213,0.01551605
all_joined_trajectories,reasoning_success,learned_entropy_delta,78,60,18,-0.06340871,-0.08794507,0.55764689,0.59179339,-0.0341465
all_joined_trajectories,reasoning_success,learned_monotonicity_rate,78,60,18,0.0,0.0,1.0,1.0,0.0
