sample_id,trajectory_id,path_type,sequence_length,entry_count,path_executable,solvable_on_path,transition_statuses,next_model_ids,eval_applied_model_sequence,reasoning_success,final_answer_correct,failure_reason,reasoning_failure_reason,raw_failure_reason,failure_bucket,curve_type,query_type,num_eval_steps,initial_heuristic_entropy,final_heuristic_entropy,mean_heuristic_entropy,heuristic_entropy_delta,heuristic_monotonicity_rate,initial_learned_entropy,final_learned_entropy,mean_learned_entropy,learned_entropy_delta,learned_monotonicity_rate
593,model:402:model,model,4,5,False,False,initial|success|failed|failed|failed,3|44|54|68,56,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Value,1,0.764,0.37,0.4578,0.394,1.0,0.89057938,0.23621879,0.53523162,0.65436059,1.0
657,model:446:model,model,2,3,False,False,initial|failed|failed,5|21,65|63|63|63|63|63|63|63|63|63|63|63|63|63|63,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Equation,15,0.773,0.758,0.7655,0.015,1.0,0.82246347,0.54222896,0.68234621,0.28023451,1.0
725,model:498:model,model,4,5,False,False,initial|success|failed|success|success,3|46|65|79,13|13|13|13|13|13|13|13|13|13|13|13|13|13|13,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Range,15,0.791,0.44,0.5502,0.351,1.0,0.83314221,0.13951406,0.46596197,0.69362815,1.0
757,model:520:model,model,3,4,False,False,initial|success|success|skipped,75|62|30,54|62|62|62|62|62|62|62|62|62|62|62|62|62|62,True,False,answer_mismatch,,,answer_mismatch,Circle,Equation,15,0.782,0.7595,0.77075,0.0225,1.0,0.77159204,0.35124028,0.56141616,0.42035176,1.0
772,model:531:model,model,4,5,True,False,initial|success|success|success|success,7|29|75|52,29|29|29|29|29|29|29|29|63|63|63|63|63|63|63,True,False,answer_mismatch,,,answer_mismatch,Parabola,Value,15,0.782,0.502,0.5778,0.28,1.0,0.85210633,0.23333696,0.53175804,0.61876937,1.0
780,model:538:model,model,6,7,False,False,initial|success|success|success|success|success|failed,2|78|41|42|43|51,29|29|29|29|29|29|29|29|29|29|29|29|29|29|29,False,False,max_steps,max_steps,Reached max steps (15),max_steps,Parabola,Value,15,0.755,0.71,0.7325,0.045,1.0,0.86646637,0.02576283,0.4461146,0.84070354,1.0
805,model:557:model,model,1,2,True,False,initial|success,3,13|13|13|13|13|13|13|13|13|13|13|13|13|13|13,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Range,15,0.773,0.5015,0.63725,0.2715,1.0,0.88435837,0.65130369,0.76783103,0.23305468,1.0
850,model:586:model,model,3,4,True,False,initial|success|success|success,5|13|12,21,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Length,1,0.791,0.3725,0.49075,0.4185,1.0,0.85642419,0.29666628,0.55307234,0.55975791,1.0
852,model:587:model,model,2,3,False,False,initial|success|failed,7|44,29|29|29|29|29|29|29|62|62|62|62|62|62|62|62,False,False,max_steps,max_steps,Reached max steps (15),max_steps,Parabola,Value,15,0.791,0.535,0.62283333,0.256,1.0,0.83198211,0.52444897,0.67366577,0.30753314,1.0
911,model:631:model,model,6,7,False,False,initial|success|success|failed|success|success|success,5|21|52|24|63|13,21,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Eccentricity,1,0.755,0.314,0.40678571,0.441,1.0,0.95002456,0.0,0.43398594,0.95002456,1.0
926,model:643:model,model,1,2,True,False,initial|success,3,13|13|13|13|13|13|13|13|13|13|13|13|13|13|13,True,True,,,,correct,Ellipse,Range,15,0.841,0.5195,0.68025,0.3215,1.0,0.83361929,0.60008754,0.71685341,0.23353175,1.0
952,model:657:model,model,9,10,False,False,initial|success|success|success|success|success|failed|success|success|skipped,7|78|41|42|43|17|62|33|71,2|29|29|29|29|29|29|29|29|29|62|62|62|62|62,False,False,max_steps,max_steps,Reached max steps (15),max_steps,Parabola,Length,15,0.782,0.4255,0.59175,0.3565,1.0,0.88361106,0.0,0.30847481,0.88361106,1.0
1036,model:717:model,model,6,7,False,False,initial|success|success|failed|failed|failed|success,75|76|72|21|54|53,62|62|62|62|62|62|62|62|62|62|62|62|62|62|62,True,False,answer_mismatch,,,answer_mismatch,Circle,Equation,15,0.782,0.719,0.74664286,0.063,1.0,0.77159204,0.04740791,0.43446842,0.72418413,1.0
1148,model:795:model,model,11,12,False,False,initial|success|success|success|success|success|failed|success|skipped|failed|failed|skipped,3|78|41|42|43|51|0|45|54|72|71,13,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Value,1,0.764,0.3175,0.38908333,0.4465,1.0,0.90250878,0.0,0.23698633,0.90250878,1.0
1158,model:802:model,model,2,3,False,False,initial|failed|success,3|79,,False,False,no_model,no_model,Step 2: No applicable model (consecutive failures),no_model,Other,Value,0,0.782,0.526,0.69416667,0.256,1.0,0.83008599,0.53047876,0.68351116,0.29960723,1.0
1185,model:825:model,model,2,3,False,False,initial|success|failed,75|2,75|63|63|63|63|63|63|63|63|63|63|63|63|63|63,True,False,answer_mismatch,,,answer_mismatch,Circle,Equation,15,0.782,0.469,0.57583333,0.313,1.0,0.89973003,0.54883831,0.71250797,0.35089172,1.0
1290,model:898:model,model,3,4,False,False,initial|failed|success|failed,7|2|29,42|42|42|43|43|43|43|43|43|43|43|43|43|43|43,False,False,max_steps,max_steps,Reached max steps (15),max_steps,Parabola,Value,15,0.764,0.7415,0.75275,0.0225,1.0,0.93400147,0.5136497,0.72382558,0.42035177,1.0
1324,model:925:model,model,5,6,True,False,initial|success|success|success|success|success,3|11|0|32|13,63,True,True,,,,correct,Ellipse,Equation,1,0.773,0.3235,0.43225,0.4495,1.0,0.83939035,0.0,0.3881973,0.83939035,1.0
1350,model:941:model,model,2,3,False,False,initial|failed|failed,5|21,65|65|65|65|65|65|65|65|65|65|65|65|65|65|65,True,False,answer_mismatch,,,answer_mismatch,Hyperbola,Value,15,0.782,0.767,0.7745,0.015,1.0,0.81560503,0.53537052,0.67548778,0.28023451,1.0
1356,model:946:model,model,4,5,True,False,initial|success|success|success|success,3|11|7|29,63,True,False,answer_mismatch,,,answer_mismatch,Ellipse,Value,1,0.782,0.331,0.4498,0.451,1.0,0.85796074,0.15545251,0.47880246,0.70250823,1.0
